Filename,Predictions
test/Minor_bumper-sep27---18-_jpg.rf.4491b49559fa0a332f9255b831302498.jpg,train
test/Minor_bumper-sep27---82----Copy_jpg.rf.87f51b9e1f41f8831cd1573b1a65cf0e.jpg,train
test/Minor_bumper-sep27---92----Copy_jpg.rf.1ce73c799a94f8c78e25ee4eb2348e1d.jpg,train
test/Minor_bumper-sep28---30-_jpg.rf.18d3e556fe4e49aac8d7918dc90dc129.jpg,train
test/akhand_b43_30_jpg.rf.520a80c97a74102f1bd7cb26909eb067.jpg,train
test/body_pannel--103-_jpg.rf.df649847d0008ed6b4270d6581cd5d70.jpg,train
test/body_pannel--17-_jpg.rf.c4d4a13b4dab103f8a5e5c4475460bfe.jpg,train
test/body_pannel--199-_jpg.rf.448065990ccdefd18f13c026d569c7b7.jpg,train
test/body_pannel--2-_JPEG.rf.65b2edcfc80a4d2a388b1b2d99e3eab2.jpg,train
test/body_pannel--27-_jpg.rf.db8295b85adb9e0e3309c7b014f7b610.jpg,train
test/body_pannel--4-_jpg.rf.8782d3dae9ab3125ba4989cbad2ac530.jpg,train
test/body_pannel--44-_jpg.rf.23b9d4dd429c737c0d39d017edb94169.jpg,train
test/body_pannel--65-_jpg.rf.3ef29f69f14e7ad6d62fe63b2afea022.jpg,train
test/body_pannel--78-_jpg.rf.65994360846c93f4d88c4b5470d84a8d.jpg,train
test/body_pannel--90-_jpg.rf.c165e1666963f6779bad29751e894c46.jpg,train
test/car-side-scratched-caused-crash-scraped-80850601_jpg.rf.66d7539a93bdab40817fd762f66ce20f.jpg,train
test/car_dent-sep1----2021-09-01T191837-642_jpg.rf.920651486fc0723afa6c6bf880296128.jpg,train
test/car_fender--15-_jpg.rf.b8a27b92eb1fd19cddbc912d7198f167.jpg,train
test/car_fender--30-_jpg.rf.32e1899804750487124a6f4342588ffa.jpg,train
test/car_fender--64-_jpg.rf.2e72fce46f335aa7908f0ed64748392f.jpg,train
test/car_fender--68-_jpg.rf.e83120217a61e9e3c0c540a6583c3487.jpg,train
test/car_fender--78-_jpg.rf.0e3519f8656dba33885bf33edbfdb3a6.jpg,train
test/car_fender--9-_jpg.rf.e328b34105ac1d535438fbc1f3da3d70.jpg,train
test/crashed-car-detail-side-metal-plates-deformed-dents-metal-accident-hit-crashed-car-detail-side-metal-plates-148775553_jpg.rf.4b5c04313caed6636e26b084070976e7.jpg,train
test/damaged-blue-car-parked-on-street_iStock_680x402_jpg.rf.5b8189232574f7a58404076e84c2dbbb.jpg,train
test/damaged-car-accident-damaged-car-accident-costly-reparation-120006136_jpg.rf.2f3b7676e5515831c4b9511032a2a86d.jpg,train
test/doorouter-sep28---10-_jpg.rf.fdd43462bdab4132cbfb1f4370d7cac7.jpg,train
test/download_jpg.rf.b9097b407fdb7900e310728d632fa54a.jpg,train
test/ia_100000000263_jpg.rf.837f2e0419a71e528d1f358e3375c3cf.jpg,train
test/ia_100000000281_jpg.rf.321ce89cd27bfe91e25f28892232cafc.jpg,train
test/ia_100000041_jpg.rf.f56884422ca646b0a6dc7455d2f8d6e4.jpg,train
test/ia_100000053_jpg.rf.6261b69bb3bed806104e77bbaf02b955.jpg,train
test/ia_100000062_jpg.rf.1d6bbc9f26fbc354ca23ec9d13a95bad.jpg,train
test/ia_300000062_jpg.rf.3862b87ea90f2ab97be9f58f6c0c7122.jpg,train
test/ia_300000113_jpg.rf.2d5482eb3f82748623ef32a2ca24c454.jpg,train
test/ia_300000117_jpg.rf.ea61246ed9c9ae565e8f02d55750024f.jpg,train
test/images--1-_jpg.rf.5e47f7fdbc727705d4fdd1c2a59cf4db.jpg,train
test/images--11-_jpg.rf.84a234337642229099019bfe8cd741d1.jpg,train
test/images--18-_jpg.rf.70adb2febb2ce4922fa2a81ca7879fc2.jpg,train
test/images--2-_jpg.rf.ff4639399ff8fb652320320607f60723.jpg,train
test/images--22-_jpg.rf.09a467d29989d003ad250f87ec0ad9e1.jpg,train
test/major_roof--10-_jpg.rf.d8621b42abb15d70b8d4878472321087.jpg,train
test/major_roof--22-_jpg.rf.460cdb2976d7c02628854c0d34f5a153.jpg,train
test/major_roof--43-_jpg.rf.1e47267fb2eef9b3c372ee5d1f57b145.jpg,train
test/medium_roof--22-_jpg.rf.1150b57e2dff550fc2f8a55c4d81b879.jpg,train
test/medium_roof--39-_jpg.rf.dd1131dee06879efcf2aff3879139a09.jpg,train
test/medium_roof--4-_jpg.rf.67a31d57e2f73f07bde31217a8260d87.jpg,train
test/minor_roof--13-_jpg.rf.86999353e70991e70157f797688b511b.jpg,train
test/minor_roof--23-_jpg.rf.16ffe69d5828dd067850f813ba9d6a84.jpg,train
test/minor_roof--3-_jpg.rf.71e7cee2a2a75ae39e20b1428f14f202.jpg,train
test/minor_roof--32-_jpg.rf.3c8b091dbce8970426519cdb87a077d0.jpg,train
test/minordoorouter-sep28---24-_jpg.rf.c6caa1c1ffafa1d77211ca5858f55da9.jpg,train
test/minordoorouter-sep28---25-_jpg.rf.4b9a49ce648ced6c1235048f47929109.jpg,train
test/minorr-sep28---35-_jpg.rf.b6acc749125d94ed097fed094353c80f.jpg,train
test/minorr-sep28---7-_jpg.rf.cddfd211dba6836a653ac0682c4e2513.jpg,train
test/mqdefault_jpg.rf.304b9595d540d8192b88047f54a3db72.jpg,train
test/oct-5---20-_jpg.rf.dfe07e7007dcfbab9d29bf50195bc764.jpg,train
test/oct-5---28-_jpg.rf.b1fdfa763970f0e7b18f059fc8a2ae43.jpg,train
test/oct-5---42-_jpg.rf.f5d88eec1851565d76f8e6ccce925230.jpg,train
test/oct-5---49-_jpg.rf.25e24212934b89727f45019a6665eb7a.jpg,train
test/oct-5-1---7-_jpg.rf.5ccdb390805a57f7237fb6fcc8efbdcb.jpg,train
test/oct-5-1-_jpg.rf.ae942d0b19a741c2f4e2d581d1689c15.jpg,train
test/oct-6---12-_jpg.rf.874686a164609c7f51fdf74dade72269.jpg,train
test/oct-6---86-_jpg.rf.b0127dd507406aaa3046db24e2ccb6e5.jpg,train
test/paintless-dent-repair-8_jpg.rf.cc80be2e8a239254351c694cd0359f1c.jpg,train
test/rear_bumper-sep23---13-_jpg.rf.f8865a92536c5adc77e69d62e887db27.jpg,train
test/rear_bumper-sep23---24-_jpg.rf.2fe603bef992d9682710ce7fb243ab61.jpg,train
test/rear_bumper-sep23---28-_jpg.rf.04a7d4a824be78d285ee658b8ca7d65d.jpg,train
test/rear_bumper-sep23---50-_jpg.rf.480c72060df3f5f9a183260b202ad13c.jpg,train
test/running-board_jpg.rf.0a859105213ac86aea51f936cf31038d.jpg,train
test/sign_light--12-_jpg.rf.8da6615bf77bbc2b2856c1da2ec6d47a.jpg,train
test/sign_light--37-_jpg.rf.df8f87fc69815a5c737e3600917e4868.jpg,train
test/sign_light--50-_jpg.rf.d5512bd8c5e01c4c7aeeba4eac446959.jpg,train
test/sign_light--6-_jpg.rf.19f61c5901bd9f643f5e5a8b2e6c2903.jpg,train
test/signlight-10---21-_jpg.rf.6d129a8351a2b4e30147773942d060e0.jpg,train
test/signlight-10---36-_jpg.rf.4b8b28c470a5eb26a7a43d63edc7cd21.jpg,train
test/signlight-10---41-_jpg.rf.50a4c1136cbe3ad904855d826e5459d6.jpg,train
test/signlight-10---43-_jpg.rf.1513583740d7cf3ca43b8e27d13dc0fe.jpg,train
test/signlight-10---52-_jpg.rf.bf93dadfaad9855a7751ae8d7819e7da.jpg,train
test/x_jpg.rf.ed5a26e2c6f28211e72a32e4621eb50d.jpg,train
